idx | actual | ideal | delta | note
 351 | 103    | 222  | -119 | *** MISMATCH
 352 | 100    | 220  | -120 | *** MISMATCH
 353 |  97    | 218  | -121 | *** MISMATCH
 354 |  93    | 215  | -122 | *** MISMATCH
 355 |  90    | 213  | -123 | *** MISMATCH
 356 |  88    | 211  | -123 | *** MISMATCH
 357 |  85    | 208  | -123 | *** MISMATCH
 358 |  82    | 206  | -124 | *** MISMATCH
 359 |  79    | 203  | -124 | *** MISMATCH
 360 |  76    | 201  | -125 | *** MISMATCH
 361 |  73    | 198  | -125 | *** MISMATCH
 362 |  70    | 196  | -126 | *** MISMATCH
 363 |  67    | 193  | -126 | *** MISMATCH
 364 |  65    | 190  | -125 | *** MISMATCH
 365 |  62    | 188  | -126 | *** MISMATCH
 366 |  59    | 185  | -126 | *** MISMATCH
 367 |  57    | 182  | -125 | *** MISMATCH
 368 |  54    | 179  | -125 | *** MISMATCH
 369 |  52    | 176  | -124 | *** MISMATCH
 370 |  49    | 173  | -124 | *** MISMATCH
 371 |  47    | 170  | -123 | *** MISMATCH
 372 |  44    | 167  | -123 | *** MISMATCH
 373 |  42    | 165  | -123 | *** MISMATCH
 374 |  40    | 162  | -122 | *** MISMATCH
 375 |  37    | 158  | -121 | *** MISMATCH
 376 |  35    | 155  | -120 | *** MISMATCH
 377 |  33    | 152  | -119 | *** MISMATCH
 378 |  31    | 149  | -118 | *** MISMATCH
 379 |  29    | 146  | -117 | *** MISMATCH
 380 |  27    | 143  | -116 | *** MISMATCH
 381 |  25    | 140  | -115 | *** MISMATCH
 382 |  23    | 137  | -114 | *** MISMATCH
 383 |  21    | 134  | -113 | *** MISMATCH
 384 |  20    | 131  | -111 | *** MISMATCH
 385 |  18    | 128  | -110 | *** MISMATCH
 386 |  17    | 124  | -107 | *** MISMATCH
 387 |  15    | 121  | -106 | *** MISMATCH
 388 |  14    | 118  | -104 | *** MISMATCH
 389 |  12    | 115  | -103 | *** MISMATCH
 390 |  11    | 112  | -101 | *** MISMATCH
 391 |  10    | 109  | -99 | *** MISMATCH
 392 |   9    | 106  | -97 | *** MISMATCH
 393 |   7    | 103  | -96 | *** MISMATCH
 394 |   6    | 100  | -94 | *** MISMATCH
 395 |   5    |  97  | -92 | *** MISMATCH
 396 |   4    |  93  | -89 | *** MISMATCH
 397 |   3    |  90  | -87 | *** MISMATCH
 398 |   2    |  88  | -86 | *** MISMATCH
 399 |   1    |  85  | -84 | *** MISMATCH
 400 |   0    |  82  | -82 | *** MISMATCH
 401 |   1    |  79  | -78 | *** MISMATCH
 402 |   2    |  76  | -74 | *** MISMATCH
 403 |   3    |  73  | -70 | *** MISMATCH
 404 |   4    |  70  | -66 | *** MISMATCH
 405 |   5    |  67  | -62 | *** MISMATCH
 406 |   6    |  65  | -59 | *** MISMATCH
 407 |   7    |  62  | -55 | *** MISMATCH
 408 |   9    |  59  | -50 | *** MISMATCH
 409 |  10    |  57  | -47 | *** MISMATCH
 410 |  11    |  54  | -43 | *** MISMATCH
 411 |  12    |  52  | -40 | *** MISMATCH
 412 |  14    |  49  | -35 | *** MISMATCH
 413 |  15    |  47  | -32 | *** MISMATCH
 414 |  17    |  44  | -27 | *** MISMATCH
 415 |  18    |  42  | -24 | *** MISMATCH
 416 |  20    |  40  | -20 | *** MISMATCH
 417 |  21    |  37  | -16 | *** MISMATCH
 418 |  23    |  35  | -12 | *** MISMATCH
 419 |  25    |  33  | -8 | *** MISMATCH
 420 |  27    |  31  | -4 | *** MISMATCH
 422 |  31    |  27  | +4 | *** MISMATCH
 423 |  33    |  25  | +8 | *** MISMATCH
 424 |  35    |  23  | +12 | *** MISMATCH
 425 |  37    |  21  | +16 | *** MISMATCH
 426 |  40    |  20  | +20 | *** MISMATCH
 427 |  42    |  18  | +24 | *** MISMATCH
 428 |  44    |  17  | +27 | *** MISMATCH
 429 |  47    |  15  | +32 | *** MISMATCH
 430 |  49    |  14  | +35 | *** MISMATCH
 431 |  52    |  12  | +40 | *** MISMATCH
 432 |  54    |  11  | +43 | *** MISMATCH
 433 |  57    |  10  | +47 | *** MISMATCH
 434 |  59    |   9  | +50 | *** MISMATCH
 435 |  62    |   7  | +55 | *** MISMATCH
 436 |  65    |   6  | +59 | *** MISMATCH
 437 |  67    |   5  | +62 | *** MISMATCH
 438 |  70    |   5  | +65 | *** MISMATCH
 439 |  73    |   4  | +69 | *** MISMATCH
 440 |  76    |   3  | +73 | *** MISMATCH
 441 |  79    |   2  | +77 | *** MISMATCH
 442 |  82    |   2  | +80 | *** MISMATCH
 443 |  85    |   1  | +84 | *** MISMATCH
 444 |  88    |   1  | +87 | *** MISMATCH
 445 |  90    |   1  | +89 | *** MISMATCH
 446 |  93    |   0  | +93 | *** MISMATCH
 447 |  97    |   0  | +97 | *** MISMATCH
 448 | 100    |   0  | +100 | *** MISMATCH
 449 | 103    |   0  | +103 | *** MISMATCH
 450 | 106    |   0  | +106 | *** MISMATCH
 451 | 109    |   0  | +109 | *** MISMATCH
 452 | 112    |   0  | +112 | *** MISMATCH
 453 | 115    |   1  | +114 | *** MISMATCH
 454 | 118    |   1  | +117 | *** MISMATCH
 455 | 115    |   1  | +114 | *** MISMATCH
 456 | 118    |   2  | +116 | *** MISMATCH
 457 | 121    |   2  | +119 | *** MISMATCH
 458 | 124    |   3  | +121 | *** MISMATCH
 459 | 128    |   4  | +124 | *** MISMATCH
 460 | 131    |   5  | +126 | *** MISMATCH
 461 | 134    |   5  | +129 | *** MISMATCH
 462 | 137    |   6  | +131 | *** MISMATCH
 463 | 140    |   7  | +133 | *** MISMATCH
 464 | 143    |   9  | +134 | *** MISMATCH
 465 | 146    |  10  | +136 | *** MISMATCH
 466 | 149    |  11  | +138 | *** MISMATCH
 467 | 152    |  12  | +140 | *** MISMATCH
 468 | 155    |  14  | +141 | *** MISMATCH
 469 | 158    |  15  | +143 | *** MISMATCH
 470 | 162    |  17  | +145 | *** MISMATCH
 471 | 165    |  18  | +147 | *** MISMATCH
 472 | 167    |  20  | +147 | *** MISMATCH
 473 | 170    |  21  | +149 | *** MISMATCH
 474 | 173    |  23  | +150 | *** MISMATCH
 475 | 176    |  25  | +151 | *** MISMATCH
 476 | 179    |  27  | +152 | *** MISMATCH
 477 | 182    |  29  | +153 | *** MISMATCH
 478 | 185    |  31  | +154 | *** MISMATCH
 479 | 188    |  33  | +155 | *** MISMATCH
 480 | 190    |  35  | +155 | *** MISMATCH
 481 | 193    |  37  | +156 | *** MISMATCH
 482 | 196    |  40  | +156 | *** MISMATCH
 483 | 198    |  42  | +156 | *** MISMATCH
 484 | 201    |  44  | +157 | *** MISMATCH
 485 | 203    |  47  | +156 | *** MISMATCH
 486 | 206    |  49  | +157 | *** MISMATCH
 487 | 208    |  52  | +156 | *** MISMATCH
 488 | 211    |  54  | +157 | *** MISMATCH
 489 | 213    |  57  | +156 | *** MISMATCH
 490 | 215    |  59  | +156 | *** MISMATCH
 491 | 218    |  62  | +156 | *** MISMATCH
 492 | 220    |  65  | +155 | *** MISMATCH
 493 | 222    |  67  | +155 | *** MISMATCH
 494 | 224    |  70  | +154 | *** MISMATCH
 495 | 226    |  73  | +153 | *** MISMATCH
 496 | 228    |  76  | +152 | *** MISMATCH
 497 | 230    |  79  | +151 | *** MISMATCH
 498 | 232    |  82  | +150 | *** MISMATCH
 499 | 234    |  85  | +149 | *** MISMATCH
 500 | 235    |  88  | +147 | *** MISMATCH
 501 | 237    |  90  | +147 | *** MISMATCH
 502 | 238    |  93  | +145 | *** MISMATCH
 503 | 240    |  97  | +143 | *** MISMATCH
 504 | 241    | 100  | +141 | *** MISMATCH
 505 | 243    | 103  | +140 | *** MISMATCH
 506 | 244    | 106  | +138 | *** MISMATCH
 507 | 245    | 109  | +136 | *** MISMATCH
 508 | 246    | 112  | +134 | *** MISMATCH
 509 | 248    | 115  | +133 | *** MISMATCH
 510 | 249    | 118  | +131 | *** MISMATCH
 511 | 250    | 121  | +129 | *** MISMATCH
 512 | 251    | 124  | +127 | *** MISMATCH
 513 | 252    | 128  | +124 | *** MISMATCH
 514 | 253    | 131  | +122 | *** MISMATCH
 515 | 254    | 134  | +120 | *** MISMATCH
 516 | 255    | 137  | +118 | *** MISMATCH
 517 | 254    | 140  | +114 | *** MISMATCH
 518 | 253    | 143  | +110 | *** MISMATCH
 519 | 252    | 146  | +106 | *** MISMATCH
 520 | 251    | 149  | +102 | *** MISMATCH
 521 | 250    | 152  | +98 | *** MISMATCH
 522 | 249    | 155  | +94 | *** MISMATCH
 523 | 248    | 158  | +90 | *** MISMATCH
 524 | 246    | 162  | +84 | *** MISMATCH
 525 | 245    | 165  | +80 | *** MISMATCH
 526 | 244    | 167  | +77 | *** MISMATCH
 527 | 243    | 170  | +73 | *** MISMATCH
 528 | 241    | 173  | +68 | *** MISMATCH
 529 | 240    | 176  | +64 | *** MISMATCH
 530 | 238    | 179  | +59 | *** MISMATCH
 531 | 237    | 182  | +55 | *** MISMATCH
 532 | 235    | 185  | +50 | *** MISMATCH
 533 | 234    | 188  | +46 | *** MISMATCH
 534 | 232    | 190  | +42 | *** MISMATCH
 535 | 230    | 193  | +37 | *** MISMATCH
 536 | 228    | 196  | +32 | *** MISMATCH
 537 | 226    | 198  | +28 | *** MISMATCH
 538 | 224    | 201  | +23 | *** MISMATCH
 539 | 222    | 203  | +19 | *** MISMATCH
 540 | 220    | 206  | +14 | *** MISMATCH
 541 | 218    | 208  | +10 | *** MISMATCH
 542 | 215    | 211  | +4 | *** MISMATCH
 544 | 211    | 215  | -4 | *** MISMATCH
 545 | 208    | 218  | -10 | *** MISMATCH
 546 | 206    | 220  | -14 | *** MISMATCH
 547 | 203    | 222  | -19 | *** MISMATCH
 548 | 201    | 224  | -23 | *** MISMATCH
 549 | 198    | 226  | -28 | *** MISMATCH
 550 | 196    | 228  | -32 | *** MISMATCH
 551 | 193    | 230  | -37 | *** MISMATCH
 552 | 190    | 232  | -42 | *** MISMATCH
 553 | 188    | 234  | -46 | *** MISMATCH
 554 | 185    | 235  | -50 | *** MISMATCH
 555 | 182    | 237  | -55 | *** MISMATCH
 556 | 179    | 238  | -59 | *** MISMATCH
 557 | 176    | 240  | -64 | *** MISMATCH
 558 | 173    | 241  | -68 | *** MISMATCH
 559 | 170    | 243  | -73 | *** MISMATCH
 560 | 167    | 244  | -77 | *** MISMATCH
 561 | 165    | 245  | -80 | *** MISMATCH
 562 | 162    | 246  | -84 | *** MISMATCH
 563 | 158    | 248  | -90 | *** MISMATCH
 564 | 155    | 249  | -94 | *** MISMATCH
 565 | 152    | 250  | -98 | *** MISMATCH
 566 | 149    | 250  | -101 | *** MISMATCH
 567 | 146    | 251  | -105 | *** MISMATCH
