2270000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=72 wr2=00 q1=00 q2=00 | rom=ad tick=0 tx_state=000
2290000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=73 wr2=00 q1=00 q2=00 | rom=aa tick=0 tx_state=000
2310000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=74 wr2=00 q1=00 q2=00 | rom=a7 tick=1 tx_state=000
2330000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=75 wr2=00 q1=00 q2=00 | rom=a5 tick=0 tx_state=000
2350000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=76 wr2=00 q1=00 q2=00 | rom=a2 tick=0 tx_state=000
2370000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=77 wr2=00 q1=00 q2=00 | rom=9e tick=0 tx_state=000
2390000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=78 wr2=00 q1=00 q2=00 | rom=9b tick=1 tx_state=000
2410000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=79 wr2=00 q1=00 q2=00 | rom=98 tick=0 tx_state=000
2430000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=7a wr2=00 q1=00 q2=00 | rom=95 tick=0 tx_state=000
2450000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=7b wr2=00 q1=00 q2=00 | rom=92 tick=0 tx_state=000
2470000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=7c wr2=00 q1=00 q2=00 | rom=8f tick=1 tx_state=000
2490000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=7d wr2=00 q1=00 q2=00 | rom=8c tick=0 tx_state=000
2510000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=7e wr2=00 q1=00 q2=00 | rom=89 tick=0 tx_state=000
2530000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=7f wr2=00 q1=00 q2=00 | rom=86 tick=0 tx_state=000
2550000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=80 wr2=00 q1=00 q2=00 | rom=83 tick=1 tx_state=000
2570000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=81 wr2=00 q1=00 q2=00 | rom=80 tick=0 tx_state=000
2590000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=82 wr2=00 q1=00 q2=00 | rom=7c tick=0 tx_state=000
2610000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=83 wr2=00 q1=00 q2=00 | rom=79 tick=0 tx_state=000
